Term,Definition,Category
Abstract data type (ADT) ,A conceptual model of the way that data is arranged and the operations that can be carried out on the data.,Data Structures
Abstract syntax tree (AST) ,"A tree representation of the key constructs of a piece of source code, showing the order of evaluation.",Data Structures
Abstraction ,A set of techniques used to solve complex problems that involves removing unnecessary details so the main processes involved can be easily identified.,Fundamentals of Programming
Acceptable Use Policy ,"An agreement between an organisation and its users that sets out how computer equipment, the network, and systems should be used, and specifies the ways in which their use is restricted.",Other
Accepting state ,A state that will be reached when a valid string is input.,Other
Access modifiers ,"Keywords that specify how the members (attributes and methods) of a class can be accessed. Common modifiers include 'public', 'private', and 'protected'.",Other
Access speed ,The speed at which data can be written to and read from a storage device.,Other
Accessibility ,"The practice of removing barriers that prevent access to, or interaction with, products, services, and environments.",Other
Address bus ,"A communication pathway that is used to carry the address of a memory location in order to either read data from, or write data to, that memory location.",Other
Address bus width ,The number of parallel lines that make up the address bus. This will determine the amount of memory that can be addressed by the system.,Other
Addressing mode ,Part of a program instruction that specifies how the operand must be interpreted.,Other
Adjacency list ,A list of nodes and their adjacent nodes.,Other
Adjacency matrix ,A two-dimensional array used to store graph data.,Other
ADSL ,Asymmetric digital subscriber line. Technology that enables the use of a standard telephone line to receive and transmit data. It enables higher download speeds than upload speeds.,Other
Aggregation ,"Defines a 'has-a' relationship between two classes. In aggregation, the objects can exist independently of each other.",Other
Agile methodology ,A software development methodology used to manage the stages of the software development life cycle.,Software Development
Algorithm ,A finite and well-defined sequence of steps that need to be followed to perform a task.,Fundamentals of Programming
ALU ,Arithmetic logic unit. A component of the processor that performs arithmetic operations and logical comparisons.,Other
Amplitude ,"The height of an analogue wave, measured from its rest level, at a given point in time. For sound waves, this is a measurement of volume.",Other
Analogue ,A signal that varies continuously over a period of time. Sound waves are typical examples of analogue wave forms.,Other
AND ,A Boolean operation that outputs True if both input values are True.,Other
Anomaly ,A deviation from the common rule that does not fit into any established pattern.,Other
Anti-malware ,Software that is used to detect and remove malware.,Other
Append mode ,A file handling mode that allows a program to write extra data at the end of a file without erasing the existing contents of the file.,Other
Append operator (++) ,Used to add a new item or items to the end of a list.,Other
Application software ,"Software designed to carry out a task for an end user, such as creating a document or sending an email.",Other
Arc ,A connection between two nodes in a graph data structure. Also called edge.,Other
Argument ,A data value or reference passed to a subroutine as required by its defined parameters.,Other
Arithmetic operators ,"Operators that perform mathematical operations on data, such as addition or division.",Other
Array ,A data structure whose elements can be accessed directly by index. The position of each element is computed at runtime.,Other
Artificial intelligence ,"The research and development of computer systems that determine the relationships between inputs and output to make predictions, instead of following programmed instructions.",Other
ASCII ,"American Standard Code for Information Interchange. An encoding format that allocates a numeric code to characters (e.g. digits, letters, punctuation marks, etc.) in order for them to be represented in binary within a computer system.",Other
Assembler ,A program that translates assembly code into machine code.,Other
Assembly languages ,A low-level programming language that uses mnemonics to represent machine code operations.,Other
Asymmetric encryption ,A method of encryption in which a pair of keys (a public key and a private key) are used to encrypt and decrypt data.,Networks and Security
Asynchronous communication ,A method of communication where data is transmitted over a channel that is not controlled by a shared clock signal.,Other
Attribute (databases) ,A property or characteristic of a database entity. The attributes specify the data items that are used to define an entity.,Other
Attribute (OOP) ,A property of an object. The attributes specify the data items that are used to define the object.,Other
Authentication ,A security measure used to verify a user's identity and level of permissions.,Other
Back-up ,"A copy of data, usually stored on a separate device, that can be used to recover the data if a storage device fails or the original data is corrupted or lost.",Other
Backtracking ,A technique for solving problems recursively.,Other
Bandwidth ,The theoretical maximum amount of data that can be transferred over a communication channel. It is measured in bits per second.,Other
Barcode ,A means of representing data in machine-readable form. Barcodes have traditionally represented data by a set of parallel lines of varied width and spacing.,Other
Base case ,A value for which there is a solution for a basic instance of a problem and which provides a stopping condition for recursion.,Other
Baud rate ,The speed of data transmission. The number of times per second that a signal changes (or could change).,Other
Big Data ,Data that is too large and complex to be dealt with by traditional processing methods and systems.,Other
Big O ,A formal notation for expressing the time or space complexity of an algorithm.,Other
Binary ,A number system that uses two distinct symbols (the digits 0 and 1) to represent a number. Also called base-2.,Other
Binary addition ,The process of adding two binary numbers.,Other
Binary file ,A file that stores data as binary sequences that can be interpreted by a computer system but are not in a human-readable format.,Other
Binary search ,An algorithm to search for an item in a sorted data set. It discards half of the remaining data with each comparison and repeats the process until the item is found or until the data set is exhausted.,Other
Binary search tree ,A data structure that is designed for efficient searching where each node's value is greater than that of all nodes in its left subtree and less than that of all nodes in its right subtree.,Data Structures
Binary shift left ,Moving all the bits of a binary sequence one place to the left.,Other
Binary shift right ,Moving all the bits of a binary sequence one place to the right.,Other
Binary tree ,A rooted tree where each node has a maximum of two child nodes.,Data Structures
Biometric ,A physical characteristic that can be used to authenticate an individual person.,Other
BIOS ,"Basic Input/Output System. Software that is stored in non-volatile memory, that carries out checks on core system components and starts up (boots) a computer system to the point where management and control can be passed to the operating system.",Other
Bit ,A binary digit. The basic unit of data within a computer system that has the value 0 or 1.,Other
Bit depth ,The number of bits used to encode each sample. Determines how accurately the sample can be represented. Also called sampling resolution.,Other
Bit pattern ,A unique string of binary digits used in a representation.,Other
Bit rate ,The number of bits that are transmitted over a communications channel per second.,Other
Bitmapped graphic ,A type of digital image that is stored as pixels. Each pixel is represented by a single colour code. Also called bitmapped image.,Data Structures
Bitmapped image ,A type of digital image that is stored as pixels. Each pixel is represented by a single colour code. Also called bitmapped graphic.,Other
Black box testing ,Testing that does not rely on understanding the inner workings of a program.,Software Development
Blagging ,An attack in which the attacker invents a scenario in order to convince the victim to give them personal information or money.,Other
Bluetooth ,A standard for wireless technology that is used for exchanging data over short distances.,Other
BNF ,Backus-Naur Form. A formal notation for describing a context-free language such as a programming language.,Other
Boolean algebra ,A branch of algebra where the variables have one of two possible values � True or False. These values are often expressed as 1 and 0.,Other
Boolean expression ,"A logical statement, made up of Boolean variables, Boolean constants and Boolean operators that will always evaluate as True or False.",Other
Boolean identity ,A relation between two elements that always holds true for all possible values of the variable(s).,Other
Boolean operator ,"An operator that perform a logical comparison, such as AND, NOT, or OR. Also called logical operator.",Other
Boolean variable ,"A variable that takes one of only two values: True or False. These values are represented in binary as 1,1 or 0,0. Some systems will display the values as Yes/No.",Other
Boot process ,Startup instructions held in ROM that include initialising the RAM and loading an operating system.,Other
Bootloader ,Software responsible for carrying out the boot process when the computer is first turned on.,Other
Botnet ,A group of computers infected by malware that can be controlled remotely.,Other
Boundary data ,Test data that is on the limit of the acceptable range of valid data.,Other
Breadth-first search ,A method of searching a graph data structure that visits all nodes adjacent to the current node before moving on. Uses a queue to support the process.,Other
Brute force attack ,A method of systematically trying all possibilities to find secret information (eg a password or encryption key).,Other
Bubble sort ,A sorting algorithm that repeatedly compares pairs of values within a list and swaps them if they are out of order.,Other
Bus ,"A communication pathway along which signals are transmitted. Historically, a set of parallel wires.",Other
Bus topology ,The arrangement (usually logical) of a network where devices are connected over a shared main cable.,Other
Byte ,Eight bits of binary data.,Other
Bytecode ,"Low-level code, produced by a compiler, that can be interpreted by a virtual machine.",Other
Cache ,"High-speed memory used to hold the data that is accessed most frequently, to improve processor performance.",Computer Systems
Caesar cipher ,A simple substitution cipher in which each letter is shifted by a certain number of places.,Other
Call stack ,A stack that is used to store information (stack frames) relevant to all subroutines that are currently running within a program.,Data Structures
Cardinality ,The number of (distinct) elements in a set.,Other
Cartesian product ,The set of all ordered pairs formed by multiplying the elements of two sets.,Other
Casting ,"Changing the data type of a piece of data, for example, converting a string to an integer.",Other
CD ,Compact disc. An optical storage device.,Other
Certification Authority (CA) ,A trusted organisation that can authenticate the certificate for a website provider.,Other
Character ,"A single letter, number, or symbol.",Other
Character set ,"A system for representing letters, numbers, and symbols in binary, with each represented by a binary sequence.",Other
Checksum ,A value derived from a block of binary data that is used for error checking as part of a data communication system.,Other
CIDR ,Classless Inter-Domain Routing. A method that allows variable-length network identifiers. The length is typically indicated as a suffix to an IP address (a slash followed by the number of bits allocated to network ID).,Other
Ciphertext ,An encrypted message that is the result of applying an encryption algorithm to a plaintext message.,Other
CIR ,Current Instruction Register. The register that holds a copy of the instruction that is currently being decoded and executed.,Other
Circuit switching ,"A method of transferring data across a network, where the end-to-end path is established before any data is sent.",Other
Circular queue ,A way of implementing a queue based on a static array where free space at the start of the array is used once the end of the array is reached.,Data Structures
Class (HTML) ,An identifier that can be applied to a collection of HTML elements to style them in a way that is specified by a corresponding CSS rule-set.,Other
Class (OOP) ,A definition of an object that describes its properties (attributes) and behaviours (methods).,Other
Class diagram ,A diagram that is used to model the classes within an OOP system. A rectangle is used to represent each class. Lines and arrows are used to show the relationships between the classes.,Other
Client�server model ,A networking architecture where devices are designated as clients or servers. Clients make requests for services from servers that respond to these requests.,Other
Clock cycle ,The elapsed time between the change of signals from a clock.,Other
Clock speed ,"The rate at which the processor can complete its programming cycle. Typically measured in gigahertz, where 1Ghz is one billion cycles per second.",Other
Closed source software ,Software for which the program source code is not made available to the general public.,Other
Cloud storage ,A method of storing and retrieving files using the internet. The files are hosted on remote servers maintained by the cloud storage provider.,Other
Co-domain ,The set of data that defines all possible outputs of a function.,Other
Coaxial cable ,"A cable made up of an inner conductor and an outer conducting shield, separated by an insulator.",Other
Code review ,The checking of code written by another programmer to ensure its quality.,Other
Collision (hashing) ,Occurs when two (different) keys generate the same hash value.,Other
Collision (networking) ,"A situation on a network, where two or more devices transmit at the same time, on the same medium, and the electrical signals collide.",Other
Colour depth ,The number of bits used to represent a colour. Also known as bit depth.,Other
Commitment ordering ,A technique used to control multi-user access to a database based around ensuring that multiple commitments are processed in the correct order.,Other
Comparison operators ,"Operators, such as greater than, that perform comparisons on two data values. The operation returns either True or False.",Other
Compiler ,A program translator that goes through several stages to produce object code (an executable file).,Other
Composite key ,A key that is made up of more than one attribute,Other
Composition ,"Defines an 'is-part-of' relationship between two classes. In composition, one object can exist only as part of another object.",Other
Compression ,The process of reducing file size by applying a compression algorithm.,Other
Computational security ,A measure of how hard it is to use a computer to crack a piece of ciphertext.,Other
Computational steps ,Statements in program code that calculate or compare values.,Other
Computer architecture ,The structure and organisation of a computer system.,Other
Computer system ,The hardware and software that work together for computation.,Other
Concatenation ,Joining two strings together to make a new string.,Other
Concurrent access ,A situation where one or more user(s) attempt(s) to access the same file or record at the same time.,Other
Condition ,An expression that evaluates to True or False (such as within an 'if' statement).,Other
Constant ,An identifier associated with an area of computer memory in which data is stored. The stored data cannot change during program execution.,Other
Constant time ,The time complexity of an algorithm where the time taken to run it does not depend on the size of the input data set.,Other
Control bus ,A communication pathway that carries signals to control the communication between the processor and other CPU components.,Other
Control information ,"Information, typically contained in a packet header, that provides data for packet routing, sequencing, and delivery.",Other
Control protocol ,An agreed method used to determine when messages should (and should not) be sent.,Other
Control unit (CU) ,A component of the processor that directs the operation of the other system components by providing timing and control signals. Also called program control unit (PCU).,Other
Convex combination ,One or more vectors that lie within the convex hull.,Other
Convex hull ,A representation of the space between two or more vectors.,Other
Copyright ,The right given to the originator of a piece of work to control how it can be used.,Other
Core ,"A processing unit that contains an ALU, a control unit, and registers. A processor can have multiple cores, which can improve the performance of a computer system.",Other
Countable set ,A finite set where the members can be counted using natural numbers.,Other
Countably infinite set ,A set whose elements can be counted such that you will eventually get to a particular element in a finite amount of time.,Other
CPU ,Central processing unit. The part of the computer that executes program instructions to process data. It also handles main memory and input-output operations.,Computer Systems
CRUD ,"Create, Read, Update, Delete. The main operations that can be carried out on data in a database.",Other
Cryptography ,The practice and study of techniques used for data encryption.,Data Structures
CSMA/CA ,Carrier Sense Multiple Access with Collision Avoidance. A method used to avoid collisions on a network. A device checks whether the communications channel is idle before attempting to transmit data.,Other
CSS ,Cascading Style Sheets. A set of definitions that can be used to style the content and layout of an HTML page.,Other
Cyberattack ,"An attempt to gain unauthorised access to a computer, computing system, or computer network with the intent to cause damage, to cause disruption, or to steal data.",Other
Dark web ,An unindexed part of the internet that must be accessed through specialist software and hosts a wide range of (mainly illegal) content.,Other
Data abstraction ,A way of describing the way that data is organised in a way that is independent of the implementation details.,Fundamentals of Programming
Data bus ,A communication pathway that is used to carry data between the processor and other CPU components.,Other
Data communication ,The process of sending and receiving data.,Other
Data mining ,The process of extracting valuable information by discovering patterns in large data sets.,Other
Data packets ,"A segment of data, usually from a larger message. Each segment has a header and travels independently through a network.",Other
Data redundancy ,The same item of data being stored in multiple places.,Other
Data type ,"An attribute of a data item that determines the values that can be stored and the operations that can be carried out on that data item. Examples of common data types are string, character, integer, float, and Boolean.",Other
Data warehousing ,Data from different sources that is brought together to be used in data analysis.,Other
Database ,"An organised collection of data that can be as simple as a single file, and as complex as a set of related tables.",Other
DBMS ,DataBase Management System. A software package that allows a database administrator to maintain one or more databases.,Other
DDoS ,"Distributed Denial of Service. A malicious attempt to overwhelm a server by bombarding it with requests. In a distributed attack, the requests come from a large number of distributed computer systems, typically a botnet.",Other
De Morgan�s Laws ,NOT (A AND B) is the same as (NOT A) OR (NOT B). NOT (A OR B) is the same as (NOT A) AND (NOT B).,Other
Debugging ,The process of finding and correcting errors in program code.,Other
Declaration ,The process of stating the name of a variable or constant and defining its data type.,Other
Decomposition ,The process of breaking down a large task into several subtasks.,Other
Decrement ,"To decrease the value of a variable. For example, count = count - 1",Other
Default gateway ,A device (typically a router) in a computer network that forwards packets to another network when the destination is not part of the internal network.,Other
Default value ,A pre-defined value given to a component of a computer program (such as a variable or parameter) when none is explicitly provided.,Other
Definite iteration ,"A set of instructions that is repeated a specific number of times. Typically it is implemented by using count-controlled loops, such as a for loop.",Other
Defragmentation ,The process of organising file blocks stored on a disk by grouping them into adjacent sectors.,Other
Degree of relationship ,"The relationship between two entities (one-to-one, one-to-many, or many-to-many).",Other
Denary ,A number system that uses ten distinct symbols (the numbers 0�9) to represent a number. Also called decimal or base-10.,Other
Depth-first search ,A method of searching a graph data structure that explores as far as possible along an unexplored branch before backtracking and selecting a new branch to explore. Uses a stack to support the process.,Other
Depth-first tree traversal ,An algorithm for traversing a tree data structure that starts at the root node and explores as far as possible along each branch before backtracking.,Data Structures
Dequeue ,The operation of removing an item from the front of a queue,Data Structures
Device driver ,Software that provides an interface to a peripheral device such as a printer. The driver translates commands from the peripheral device into a form that the operating system and other programs can understand and vice versa.,Other
DHCP ,"Dynamic Host Control Protocol. A protocol used when a new device requests to joins a network. The new device is allocated an IP address, subnet mask, default gateway, and DNS server addresses.",Other
Dictionary ,"An abstract data type that stores an unordered set of key�value pairs. Values are stored and retrieved by key, not by position.",Other
Dictionary-based method ,"A lossless method of compression where each different word or group of characters is assigned a code. When the file is compressed, the words or character groups are substituted by the codes.",Other
Digital camera ,A device that captures an image in digital form.,Other
Digital certificate ,"A file that contains important information relating to the security of websites, including the public key for encryption.",Other
Digital signature ,A value that is calculated and encrypted that demonstrates that an encrypted document is from the stated sender and has not been tampered with.,Other
Dijkstra's shortest path algorithm ,An algorithm that finds the shortest path between the start node and all other nodes in a given graph.,Fundamentals of Programming
Direct addressing ,A method of addressing where the operand is the address of the data to be used.,Other
Directed graph ,A graph where the connections between nodes are not bidirectional.,Data Structures
Documentation ,Material that explains how the system works.,Other
Domain ,The set of data that defines all possible inputs of a function.,Other
Domain name ,A user-friendly name given to a domain that forms part of the internet.,Other
Domain name server ,A server that works to resolve domain names to corresponding IP addresses.,Other
Domain name system ,A hierarchy of servers that work together to resolve domain names to corresponding IP addresses.,Other
Dot product ,An operation that combines two vectors to produce a scalar value.,Other
Dynamic data structure ,A collection of data that can grow (or shrink) in size at runtime.,Other
Dynamic filtering ,"A filtering method used by a firewall, that makes use of a connection table to keep track of open connections.",Other
e-waste ,"Electronic waste, destined for refurbishment, reuse, resale, recycling, or disposal.",Other
Eavesdropping ,The process of monitoring network traffic to intercept the data being transmitted.,Other
Edge ,A connection between two nodes in a graph data structure. Also called arc.,Other
Efficiency ,An expression of the computational time and space required to perform an algorithm.,Other
Embedded system ,A complete computer system that has a dedicated function within a larger system.,Other
Empty set ,The unique set with no members.,Other
Encapsulation (OOP) ,The concept of packaging data together with the methods that operate on that data.,Other
Encoding ,The process of representing data in binary form.,Other
Encryption ,The process of applying an encryption algorithm to plaintext to produce ciphertext that cannot be understood (without decryption).,Networks and Security
Encryption key ,Information that is needed by an encryption algorithm to encrypt (or decrypt) a message.,Networks and Security
Enqueue ,The process of adding an item to a queue.,Data Structures
Entity ,"Something about which data will be stored, e.g. a customer or booking.",Other
Entity relationship diagram ,A diagram that shows the degree of relationship between two or more entities.,Other
Erroneous data ,Test data that should be caught by validation and rejected by a system.,Other
Ethernet ,A group of networking technologies commonly used in local area networks.,Other
Ethical hacking ,"The process of trying to break into a computer system with the permission of its owner, to determine its vulnerabilities and weak points. Also called penetration testing.",Other
Exception handling ,The process of dealing with unexpected events that might cause a program to terminate abruptly (crash).,Other
Executable file ,A file that can be executed by the processor without further translation.,Other
Exponent ,Part of a floating point number that determines the position of the binary point.,Other
Exponential time ,The time complexity of an algorithm where the time taken to run it increases by an exponential factor on each single addition to the input data set.,Other
Expression ,"Combination of variables, constants, values, or operators that is evaluated to produce a result.",Other
Fact-based model ,"Facts are used to represent, model, and query data sets at the scale of Big Data.",Other
Fetch-decode-execute cycle ,"A process that is followed repeatedly by the processor in order to carry out instructions. It has three stages: fetch, decode, execute. It is also called the instruction cycle or fetch-execute cycle.",Computer Systems
Fibre-optic cable ,A cable that can be used to transport electromagnetic waves in the infrared region. These waves are modulated to carry digital data at high speeds over long distances.,Other
Field ,Part of a record. Each field contains a specific piece of data.,Other
File handling mode ,"An operation that is specified within a command to open a file, that determines how a file can be used.",Other
File path ,A route to locate a file in a directory structure. File paths can be absolute or relative. An absolute path will start from the top of the directory structure. A relative path will provide a route that starts from the file that contains the path.,Other
File repair ,"A type of utility software that can scan a damaged file, extract data from it, and store it as a new usable file.",Other
File type extension ,"A suffix given to a file name to mark what kind of data is contained in the file, or what type of program created it. Examples include '.docx', '.jpg', and '.pdf'.",Other
Filter function ,"A higher-order function that takes a list and some criteria as arguments, and returns a new list. The new list contains only those items that meet the specified criteria.",Other
Fingerprint ,A clue that helps to decrypt a message.,Other
Finite set ,A set where the number of elements is countable.,Other
Finite state machine ,A model of a system with a finite number of states. Transition between states depends on the input received when the machine is in a particular state.,Theory of Computation
Firewall ,A system that filters network traffic to protect against unauthorised flows of data in or out of the network.,Networks and Security
First-class object ,An object that can be used as an argument to a function or produced as a return value.,Other
Fixed point number ,A real number where the binary point is stored in a fixed position.,Other
Flash memory ,A general term for non-volatile memory devices that store binary data in electrical circuits.,Computer Systems
Flat file database ,A database in which all data is held in a single table.,Other
Flip-flop ,A circuit that can store a single-bit value to act as a simple memory unit.,Other
Float ,A data type for a number with a decimal place. Stored as a floating point number.,Other
Floating point number ,"A real number that is stored as a mantissa with a given number of significant digits, and an exponent that determines the position of the binary point.",Other
Flowchart ,A diagram that uses a standard set of symbols to document an algorithm.,Other
Foreign key ,An attribute in one table that is the primary key in another table and is used to link the tables together.,Databases and SQL
Frame ,The name of the data structure at the link layer. It is used to move a packet between devices on a network.,Other
Frequency ,The rate of occurrence within a given time frame.,Other
Frequency analysis ,The process of examining the distribution of the letters or symbols in a piece of text.,Other
Frequency band ,A continuous range of radio wave frequencies allocated to a particular service. Frequency bands are often split into channels.,Other
Front ,A pointer to the start of a queue.,Other
FTP ,File Transfer Protocol. An application layer protocol that handles the exchange of files between FTP clients and FTP servers.,Other
Full adder ,"A circuit, made up of several half adders, that performs the addition of binary numbers",Other
Function (Mathematics) ,A set of rules that connects a set of values (the inputs of the function) to another set of values (the outputs of the function). Every member of the inputs set must map to a single element from the outputs set.,Other
Function (Programming) ,A named block of code that performs a task and returns one or more values.,Other
Function composition ,An operation in which one function is applied to the result of another function.,Other
Function type ,The data type of a function's parameter(s) and return value(s).,Other
Functional programming ,"A declarative programming paradigm, where pure functions are applied to data to transform it into new data. In functional programming data is immutable and programs have no state.",Other
Gateway ,"A device within a network that connects it to another network. If the networks use different protocols, it will handle the conversion from one protocol to the other.",Other
GDPR ,"General Data Protection Regulation.  It specifies the rules relating to the collection, storage and distribution of personal data that apply to most UK businesses and organisations.",Other
General case ,A statement that expresses the solution to a problem in terms of a reference to a smaller version of that same problem.,Other
Generalisation (abstraction) ,The process of removing unnecessary detail so that the problem can be generalised into a similar category of problems.,Fundamentals of Programming
Gibibyte ,"One gibibyte is 1, comma, 073, comma, 741, comma, 824,1,073,741,824 bytes (2, to the power 30 ,230). The symbol for the gibibyte is GiB. See also gigabyte.",Other
Gigabyte ,"One gigabyte is one billion bytes (10, to the power 9 ,109). The symbol for the gigabyte is GB. See also gibibyte.",Other
Global variable ,A variable that is accessible from all parts of a program.,Other
Graph ,A non-linear data structure that comprises a set of connected nodes.,Data Structures
Graph schema ,Describes the vertices and edges in a graph and defines how they relate to each other. Often shown in the form of a diagram.,Data Structures
GUI ,Graphical User Interface. A type of interface that allows the user to interact with a computer system. It usually involves clicking on icons or selecting options from a menu.,Other
Hacking ,Gaining unauthorised access to or control of a computer system.,Other
Half adder ,A circuit that performs the addition of two bits. It takes two bits as input and outputs a sum and carry bit.,Other
Halting problem ,A problem that is significant to the theory of computation as it proves that some problems are undecidable or cannot be computed.,Theory of Computation
Hard disk drive (HDD) ,"A form of secondary storage, in which magnetic dots stored on platters (or disks) are used to store binary data.",Other
Hardware ,The physical components of a computer system.,Other
Harvard architecture ,A computer architecture that provides separate memories for data and instructions.,Other
Hash table ,An abstract data type that is used to optimise searching. Values are stored at locations of which the positions can be calculated by applying an algorithm to the key (of that data).,Data Structures
Hashing algorithm ,An algorithm that generates a hash value from a key.,Fundamentals of Programming
Head function ,A function that returns the first item of a list of items as a scalar value.,Other
Heading (HTML) ,"Text that is usually larger or of a different style, to denote a section within a page.",Other
Heap ,A pool of memory that is allocated to service dynamic data structures,Other
Heuristic ,"An approach to solving a problem that will provide an approximate or ""good enough"" solution to an intractable problem.",Other
Hexadecimal ,A number system that uses 16 distinct symbols (the numbers 0-9 and the letters A-F) to represent a number. Also called hex or base-16.,Other
Hierarchy chart ,A diagram that shows the design of a system from a top-down perspective.,Other
High-level languages ,Programming languages that allow the programmer to specify the logical steps to solve a problem without having to worry about the low-level machine operations needed to perform the computation.,Other
HTML ,Hypertext Markup Language. Used to specify the elements of a web page to allow them to be presented in a certain way.,Other
HTML element ,"A component of an HTML page that is enclosed within a start tag and an end tag. For example, <h1>My first book</h1>.",Other
HTTP ,Hypertext Transfer Protocol. An application layer protocol that enables data exchange between web clients and web servers.,Networks and Security
HTTPS ,Secure Hypertext Transfer Protocol. A set of application layer protocols that securely handles the exchange of data between web clients and web servers by encrypting the data.,Networks and Security
Hub ,"A network device that is used to connect devices on a local area network. It is used to simplify cabling systems and acts as a repeater. When data arrives at a port, it is broadcast to the devices connected to every other port.",Other
Huffman coding ,A lossless compression technique often used to compress data (such as text) in which there are frequently occurring patterns.,Other
I/O controller ,Input/Output controller. Manages the flow of data between the processor and the input and output devices.,Other
Id (HTML) ,An identifier that is applied to a single HTML element to style it in a way that is specified by a corresponding CSS rule-set.,Other
IDE ,Integrated development environment. An application that facilitates the writing and running of programs. It also provides support with debugging and diagnostics.,Other
Identifier ,"The name that a programmer gives to a variable, constant, or subroutine.",Other
Image file ,A file containing a digital image.,Other
Image resolution (density) ,"The number of pixels in the same sized area of an image, usually expressed as pixels per inch (ppi) or dots per inch (dpi).",Other
Image resolution (size) ,"The number of pixels that make up a digital image, usually expressed as width x height for example 1920 x 1080.",Other
IMAP ,Internet Message Access Protocol. A protocol used to retrieve email from a server allowing multiple email clients to be synchronised with the same mailbox.,Other
Immediate addressing ,"A method of addressing, where the operand is the actual data to be used.",Other
Immutable ,Not able to be changed.,Other
Immutable data structure ,"A data structure in which stored values cannot be changed (eg added, removed, or replaced) during program execution.",Other
Imperative languages ,A programming language where the programmer defines a set of statements that must be followed (in the given order) to solve a problem.,Other
In-order traversal ,A method of traversing a tree so that a node is processed after its left subtree has been examined and before its right subtree has been examined.,Other
Increment ,"To increase the value of a variable. For example, count = count + 1",Other
Indefinite iteration ,"A set of instructions that is repeated until a condition is met. Typically it is implemented by using condition-controlled loops, such as a while loop.",Other
Index ,A number that describes the position of an item within an array. Most computer systems start indexing at 0.,Other
Infinite set ,A set where the number of elements is not countable.,Other
Infix notation ,Expressions that are written with the operators positioned between the operands.,Other
Information hiding ,"A technique that removes all unnecessary detail from a problem to expose its essential characteristics, in order to derive a solution.",Other
Inheritance ,A feature of OOP that allows you to base one class on another. The new subclass (or child class) inherits all the attributes and methods of the superclass (or parent class).,Other
Initialisation ,Setting the initial value for a variable.,Other
Inline style ,A CSS rule-set that is written directly within the tag of an HTML element.,Other
Input device ,Peripheral devices such as keyboards and microphones that allow data to be entered into a computer system.,Other
Insertion sort ,A sorting algorithm that progressively evaluates items in a list and inserts them into the correct place in an ordered sublist.,Other
Instantiation ,A feature of OOP where a new object is created from a class definition and assigned to a reference variable.,Other
Integer ,"A whole number, such as 5. It can be positive or negative.",Other
Integer division ,A division where the quotient (result) is an integer and any remainders are discarded. Integer division is sometimes also called floor division.,Other
Integers (set) ,The infinite set of all whole numbers (positive or negative) including zero.,Other
Integrity ,"The reliability of data in terms of its accuracy, completeness and consistency.",Other
Interface ,A shared boundary across which two or more components of a computer system exchange information.,Other
Internet ,A global system of interconnected computer networks.,Other
Internet registrar ,A commercial organisation that will register a domain on your behalf.,Other
Internet registry ,An organisation that allocates domains and maintains the official register of domain owners for one or more top-level domains.,Other
Internet Service Provider (ISP) ,An organisation that provides a connection to the internet.,Other
Interpreter ,"A program that translates and executes the instructions of a program written in a high-level language, one line at a time.",Other
Interrupt ,A signal sent to the processor requesting immediate attention.,Other
Interrupt service routine ,A program that handles a processor interrupt,Other
Intractable problem ,A problem that cannot be solved by a computer system in a reasonable amount of time.,Other
IP ,Internet Protocol. An internet (network) layer protocol that ensures that packets can be transferred between the source and destination using the IP addresses in the packet header.,Other
IP address ,Internet Protocol address. A binary number assigned to a node in an internet network that is made up of a network ID and a host ID.,Other
Irrational numbers ,The infinite set of numbers that cannot be expressed as fractions (or ratios).,Other
Iteration ,The process of repeating a sequence of instructions a number of times within a program loop. This can be a fixed number of repetitions (count-controlled loop) or the number of repetitions can be controlled by a condition (condition-controlled loop).,Other
JavaScript ,A high-level programming language that can be executed by most web browsers. JavaScript can be used to change the appearance and behaviour of a webpage.,Other
